rank_name,position,seat,seat_span,row_letter,seat_number,title,name,full_text
ĐẠI TÁ TRẦN ĐÌNH MẠNH,PHÓ TƯ LỆNH-TMT PHÁO BINH TÊN LỬA,H14,,H,14,ĐẠI TÁ,TRẦN ĐÌNH MẠNH,ĐẠI TÁ | TRẦN ĐÌNH MẠNH | PHÓ TƯ LỆNH-TMT | PHÁO BINH TÊN LỬA
ĐẠI TÁ NGUYỄN KHÁNH LINH,CỤC TRƯỞNG/CỤC 11 TỔNG CỤC II,H12,,H,12,ĐẠI TÁ,NGUYỄN KHÁNH LINH,ĐẠI TÁ | NGUYỄN KHÁNH LINH | CỤC TRƯỞNG/CỤC 11 | TỔNG CỤC II
ĐẠI TÁ BÙI NGỌC HUYÊN,PHÓ CỤC TRƯỞNG CỤC THI HÀNH ÁN BQP,H10,,H,10,ĐẠI TÁ,BÙI NGỌC HUYÊN,ĐẠI TÁ | BÙI NGỌC HUYÊN | PHÓ CỤC TRƯỞNG | CỤC THI HÀNH ÁN BQP
ĐẠI TÁ VŨ VĂN KIỆM,PHÓ CỤC TRƯỞNG CỤC PHÁP CHẾ,H8,,H,8,ĐẠI TÁ,VŨ VĂN KIỆM,ĐẠI TÁ | VŨ VĂN KIỆM | PHÓ CỤC TRƯỞNG | CỤC PHÁP CHẾ
ĐỒNG CHÍ TRẦN MINH SƠN,PHÓ CHỦ TỊCH HĐQT TẬP ĐOÀN SUN GROUP,H6,,H,6,ĐỒNG CHÍ,TRẦN MINH SƠN,ĐỒNG CHÍ | TRẦN MINH SƠN | PHÓ CHỦ TỊCH HĐQT | TẬP ĐOÀN SUN GROUP
ĐỒNG CHÍ NGUYỄN VĂN BÌNH,CHỦ TỊCH TẬP ĐOÀN SUN GROUP,H4,,H,4,ĐỒNG CHÍ,NGUYỄN VĂN BÌNH,ĐỒNG CHÍ | NGUYỄN VĂN BÌNH | CHỦ TỊCH | TẬP ĐOÀN SUN GROUP
ĐẠI TÁ SÁI MINH HẢI,TP. CẢNH VỆ MIỀN TRUNG /BTL CẢNH VỆ,H2,,H,2,ĐẠI TÁ,SÁI MINH HẢI,ĐẠI TÁ | SÁI MINH HẢI | TP. CẢNH VỆ MIỀN TRUNG /BTL CẢNH VỆ
ĐẠI TÁ ĐỖ XUÂN HÙNG,PHÓ TMT QUÂN KHU,H1,,H,1,ĐẠI TÁ,ĐỖ XUÂN HÙNG,ĐẠI TÁ | ĐỖ XUÂN HÙNG | PHÓ TMT | QUÂN KHU
ĐẠI TÁ CAO VĂN MƯỜI,PHÓ TMT QUÂN KHU,H3,,H,3,ĐẠI TÁ,CAO VĂN MƯỜI,ĐẠI TÁ | CAO VĂN MƯỜI | PHÓ TMT | QUÂN KHU
ĐẠI TÁ DƯƠNG HOÀNG TOÁN,PHÓ CN CHÍNH TRỊ QUÂN KHU,H5,,H,5,ĐẠI TÁ,DƯƠNG HOÀNG TOÁN,ĐẠI TÁ | DƯƠNG HOÀNG TOÁN | PHÓ CN CHÍNH TRỊ | QUÂN KHU
ĐẠI TÁ TRƯƠNG QUANG NHẠN,NGUYÊN PHÓ TMT QUÂN KHU,H7,,H,7,ĐẠI TÁ,TRƯƠNG QUANG NHẠN,ĐẠI TÁ | TRƯƠNG QUANG NHẠN | NGUYÊN PHÓ TMT | QUÂN KHU
ĐẠI TÁ TRẦN VĂN LÝ,NGUYÊN PHÓ TMT QUÂN KHU,H9,,H,9,ĐẠI TÁ,TRẦN VĂN LÝ,ĐẠI TÁ | TRẦN VĂN LÝ | NGUYÊN PHÓ TMT | QUÂN KHU
ĐẠI TÁ PHẠM ĐỨC DŨNG,NGUYÊN PHÓ CN HẬU CẦN QUÂN KHU,H11,,H,11,ĐẠI TÁ,PHẠM ĐỨC DŨNG,ĐẠI TÁ | PHẠM ĐỨC DŨNG | NGUYÊN PHÓ CN | HẬU CẦN QUÂN KHU
ĐẠI TÁ LÊ VĂN HẢI,NGUYÊN PHÓ CHỦ NHIỆM UBKT ĐẢNG ỦY QK,H13,,H,13,ĐẠI TÁ,LÊ VĂN HẢI,ĐẠI TÁ | LÊ VĂN HẢI | NGUYÊN PHÓ CHỦ NHIỆM UBKT ĐẢNG ỦY QK
