rank_name,position,seat
ĐẠI TÁ VÕ HOÀI NAM,NGUYÊN CHỦ NHIỆM HẬU CẦN QUÂN KHU,I7
ĐẠI TÁ NGUYỄN TRUNG KHANH,NGUYÊN CHỦ NHIỆM HẬU CẦN QUÂN KHU,I9
ĐẠI TÁ TRẦN PHƯỚC NHA,NGUYÊN PHÓ CHỦ NHIỆM CHÍNH TRỊ QUÂN KHU,I11
ĐẠI TÁ TRẦN MINH CHÍN,NGUYÊN PHÓ CHỦ NHIỆM CHÍNH TRỊ QUÂN KHU,I13
ĐẠI TÁ PHAN VĂN HẠNG,NGUYÊN PHÓ CHỦ NHIỆM CHÍNH TRỊ QUÂN KHU,I15
ĐẠI TÁ DƯƠNG XUÂN DẦN,NGUYÊN PHÓ CHỦ NHIỆM UBKT ĐẢNG ỦY QUÂN KHU,I17
ĐẠI TÁ NGUYỄN HỮU CHỈNH,NGUYÊN PHÓ CHỦ NHIỆM CHÍNH TRỊ QUÂN KHU,I19
ĐẠI BIỂU CỤC QUÂN HUẤN NHÀ TRƯỜNG,,I2
ĐẠI BIỂU CỤC PHÁP CHẾ,,I4
ĐẠI BIỂU BTL VÙNG 3 HẢI QUÂN,,I6
ĐẠI BIỂU BTL VÙNG 4 HẢI QUÂN,,I8
ĐẠI BIỂU BTL CẢNH SÁT BIỂN VÙNG 2,,I10
ĐẠI BIỂU CỤC 11,TỔNG CỤC II,I12
ĐẠI BIỂU BINH ĐOÀN 15,,I14
ĐẠI BIỂU TRUNG TÂM 386,,I16
ĐẠI BIỂU SƯ ĐOÀN PK375 QC PK-KQ,,I18
ĐẠI BIỂU SƯ ĐOÀN KQ372 QC PK-KQ,,I20
ĐẠI TÁ ĐOÀN VĂN TÂM,NGUYÊN PHÓ TMT QUÂN KHU,K1
ĐẠI TÁ TRẦN VĂN LÝ,NGUYÊN PHÓ TMT QUÂN KHU,K3
ĐẠI TÁ NGÔ TẤN NHẤT,NGUYÊN CHÍNH ỦY CỤC HẬU CẦN QK,K5
ĐẠI TÁ TRỊNH VĂN TÂM,NGUYÊN PHÓ CN CHÍNH TRỊ QUÂN KHU,K7
ĐẠI TÁ LÊ VĂN HẢI,NGUYÊN PHÓ CHỦ NHIỆM UBKT ĐẢNG ỦY QK,K9
ĐẠI TÁ PHẠM ĐỨC DŨNG,NGUYÊN PHÓ CN HẬU CẦN QUÂN KHU,K11
ĐẠI TÁ TRẦN CÔNG MẠNH,NGUYÊN PHÓ CN HẬU CẦN QUÂN KHU,K13
ĐẠI TÁ DƯƠNG CÔNG TRI,NGUYÊN PHÓ CN HẬU CẦN QUÂN KHU,K15
ĐẠI TÁ TRẦN THIỆN PHƯỚC,NGUYÊN PHÓ CN HẬU CẦN QUÂN KHU,K17
ĐẠI TÁ TÔN THẤT HẢI,NGUYÊN CHỦ NHIỆM KỸ THUẬT QUÂN KHU,K19
ĐẠI BIỂU BỆNH VIỆN QUÂN Y 175,,K2
ĐẠI BIỂU CÔNG TY THÀNH AN 96,,K4
"ĐẠI BIỂU, LÃNH ĐẠO NGÂN HÀNG MB",,K6
"ĐẠI BIỂU, LÃNH ĐẠO TẬP ĐOÀN VIETTEL",,K8
ĐẠI BIỂU LÃNH ĐẠO THÔNG TẤN XÃ VIỆT NAM,,K10
ĐẠI BIỂU LÃNH ĐẠO ĐÀI TIẾNG NÓI VIỆT NAM VOV KHU VỰC MIỀN TRUNG,,K12
ĐẠI BIỂU LÃNH ĐẠO TRUNG TÂM PT - TH QUÂN ĐỘI,,K14
ĐẠI BIỂU LÃNH ĐẠO BÁO QUÂN ĐỘI NHÂN DÂN,,K16
ĐẠI BIỂU LÃNH ĐẠO ĐÀI TRUYỀN HÌNH VIỆT NAM VTV8,,K18
ĐẠI BIỂU LÃNH ĐẠO CỔNG THÔNG TIN ĐIỆN TỬ ĐCS VIỆT NAM,,K20
ĐẠI TÁ NGÔ TIẾN SỸ,NGUYÊN CHỦ NHIỆM HẬU CẦN QUÂN KHU,L1
ĐẠI TÁ NGUYỄN LÊN,NGUYÊN CHỦ NHIỆM HẬU CẦN QUÂN KHU,L3
ĐẠI TÁ ĐÀO NGỌC THANH,NGUYÊN PHÓ CNHC QUÂN KHU,L5
ĐẠI TÁ LÊ QUANG TRÌNH,NGUYÊN CHÍNH ỦY CỤC HẬU CẦN QK,L7
ĐẠI TÁ BÙI TÁ TUÂN,NGUYÊN CHÍNH ỦY CỤC HẬU CẦN QK,L9
ĐẠI TÁ NGUYỄN THÀNH THIỆN,NGUYÊN CHÍNH ỦY CỤC KỸ THUẬT QK,L11
ĐẠI TÁ LÊ PHÚC THẮNG,NGUYÊN CHỦ NHIỆM KỸ THUẬT QUÂN KHU,L13
ĐẠI TÁ NGUYỄN VĂN KHÁNH,NGUYÊN CHÍNH ỦY CỤC KỸ THUẬT QK,L15
ĐẠI TÁ NGUYỄN VĂN TIÊN,NGUYÊN CHỦ NHIỆM KỸ THUẬT QUÂN KHU,L17
ĐẠI TÁ TRẦN XUÂN SƠN,NGUYÊN CHÍNH ỦY CỤC KỸ THUẬT QK,L19
ĐẠI TÁ TRẦN ĐÌNH ĐANG,NGUYÊN CHÍNH ỦY CỤC KỸ THUẬT QK,M1
ĐẠI TÁ ĐẶNG VĂN MAU,NGUYÊN PHÓ CN KỸ THUẬT QUÂN KHU,M3
ĐẠI TÁ NGUYỄN VĂN MINH,NGUYÊN PHÓ CN KỸ THUẬT QK,M5
ĐẠI TÁ NGUYỄN HOÀNH KHIẾU,NGUYÊN PHÓ CN KỸ THUẬT QUÂN KHU,M7
ĐẠI TÁ NGUYỄN NGỌC BÂNG,NGUYÊN CHỦ NHIỆM KỸ THUẬT QUÂN KHU,M9
