rank_name,position,seat
ĐẠI TÁ NGUYỄN THIỆN THANH,PHÓ CHÍNH ỦY BINH CHỦNG TĂNG-THIẾT GIÁP,H18
ĐẠI TÁ KHỔNG MẠNH HƯNG,PHÓ CHÍNH ỦY BINH CHỦNG CÔNG BINH,H16
ĐẠI TÁ TRẦN ĐÌNH MẠNH,PHÓ TƯ LỆNH-TMT PHÁO BINH TÊN LỬA,H14
ĐẠI TÁ NGUYỄN KHÁNH LINH,CỤC TRƯỞNG/CỤC 11 TỔNG CỤC II,H12
ĐẠI TÁ BÙI NGỌC HUYÊN,PHÓ CỤC TRƯỞNG CỤC THI HÀNH ÁN BQP,H10
ĐẠI TÁ VŨ VĂN KIỆM,PHÓ CỤC TRƯỞNG CỤC PHÁP CHẾ,H8
ĐỒNG CHÍ TRẦN MINH SƠN,PHÓ CHỦ TỊCH HĐQT TẬP ĐOÀN SUN GROUP,H6
ĐỒNG CHÍ NGUYỄN VĂN BÌNH,CHỦ TỊCH TẬP ĐOÀN SUN GROUP,H4
ĐẠI TÁ SÁI MINH HẢI,TP. CẢNH VỆ MIỀN TRUNG /BTL CẢNH VỆ,H2
ĐẠI TÁ ĐỖ XUÂN HÙNG,PHÓ TMT QUÂN KHU,H1
ĐẠI TÁ CAO VĂN MƯỜI,PHÓ TMT QUÂN KHU,H3
ĐẠI TÁ DƯƠNG HOÀNG TOÁN,PHÓ CN CHÍNH TRỊ QUÂN KHU,H5
ĐẠI TÁ TRƯƠNG QUANG NHẠN,NGUYÊN PHÓ TMT QUÂN KHU,H7
ĐẠI TÁ TRẦN VĂN LÝ,NGUYÊN PHÓ TMT QUÂN KHU,H9
ĐẠI TÁ PHẠM ĐỨC DŨNG,NGUYÊN PHÓ CN HẬU CẦN QUÂN KHU,H11
ĐẠI TÁ LÊ VĂN HẢI,NGUYÊN PHÓ CHỦ NHIỆM UBKT ĐẢNG ỦY QK,H13
ĐẠI TÁ LÊ PHÚC THẮNG,NGUYÊN CHỦ NHIỆM KỸ THUẬT QUÂN KHU,H15
ĐẠI TÁ NGUYỄN HỮU CHỈNH,NGUYÊN PHÓ CHỦ NHIỆM CHÍNH TRỊ QUÂN KHU,H17
ĐẠI TÁ TRẦN XUÂN SƠN,NGUYÊN CHÍNH ỦY CỤC KỸ THUẬT QK,H19
ĐẠI BIỂU LÃNH ĐẠO ĐÀI TIẾNG NÓI,VIỆT NAM V0V KHU VỰC MIỀN TRUNG,I20
ĐẠI BIỂU LÃNH ĐẠO CỔNG THÔNG TIN,ĐIỆN TỬ ĐCS VIỆT NAM,I18
ĐẠI BIỂU LÃNH ĐẠO BÁO QUÂN ĐỘI,NHÂN DÂN,I16
THƯỢNG TÁ HỒ NGỌC DUY,CHỈ HUY TRƯỞNG TRUNG TÂM 386,I14
THƯỢNG TÁ ĐẶNG ĐÌNH KHIÊM,GIÁM ĐỐC CÔNG TY THÀNH AN 96,I12
THƯỢNG TÁ PHẠM NHƯ ÁNH,PHÓ TỔNG GIÁM ĐỐC NGÂN HÀNG MB,I10
ĐẠI BIỂU TẬP ĐOÀN VIETTEL,ĐÀ NẴNG,I8
ĐẠI TÁ ĐÀO XUÂN VŨ,PHÓ TỔNG GIÁM ĐỐC TẬP ĐOÀN VIETTEL,I6
ĐẠI TÁ NGUYỄN MINH ĐỨC,CHÍNH ỦY /fPK375 QC PK-KQ,I4
ĐẠI TÁ HOÀNG TRUNG KIÊN,CHÍNH ỦY /fKQ372 QC PK-KQ,I2
ĐẠI TÁ TRẦN KIM QUYỀN,CHÍNH ỦY CỤC HC-KT,I1
ĐẠI TÁ LÊ THÀNH TÔN,PHÓ CHỦ NHIỆM HC - KT QUÂN KHU,I3
ĐẠI TÁ HỒ ANH TUẤN,PHÓ CN CHÍNH TRỊ QUÂN KHU,I5
ĐẠI TÁ NGUYỄN LÊN,NGUYÊN CHỦ NHIỆM HẬU CẦN QUÂN KHU,I7
ĐẠI TÁ NGÔ TIẾN SỸ,NGUYÊN CHỦ NHIỆM HẬU CẦN QUÂN KHU,I9
ĐẠI TÁ ĐẶNG VĂN MAU,NGUYÊN PHÓ CN KỸ THUẬT QUÂN KHU,I11
ĐẠI TÁ NGUYỄN NGỌC BÂNG,NGUYÊN CHỦ NHIỆM KỸ THUẬT QUÂN KHU,I13
ĐẠI TÁ DƯƠNG CÔNG TRI,NGUYÊN PHÓ CN HẬU CẦN QUÂN KHU,I15
ĐẠI TÁ VÕ HOÀI NAM,NGUYÊN CHỦ NHIỆM HẬU CẦN QUÂN KHU,I17
ĐẠI TÁ NGÔ TẤN NHẤT,NGUYÊN CHÍNH ỦY CỤC HẬU CẦN QK,I19
SƯ ĐOÀN TRƯỞNG SƯ ĐOÀN BB315,,J20
SƯ ĐOÀN TRƯỞNG SƯ ĐOÀN BB2,,J18
CHỈ HUY TRƯỞNG BCHQS T. K. HÒA,,J16
CHÍNH ỦY BCHQS T. ĐĂK LĂK,,J14
CHỈ HUY TRƯỞNG BCHQS TỈNH GIA LAI,,J12
CHỈ HUY TRƯỞNG BCHQS TỈNH Q. NGÃI,,J10
CHÍNH ỦY BCHQS TP. ĐÀ NẴNG,,J8
ĐẠI BIỂU TẬP ĐOÀN VIETTEL,ĐÀ NẴNG,J6
ĐẠI BIỂU LÃNH ĐẠO ĐÀI TRUYỀN HÌNH,VIỆT NAM VTV8,J4
ĐẠI BIỂU LÃNH ĐẠO TRUNG TÂM,PT - TH QUÂN ĐỘI,J2
ĐẠI TÁ TRẦN VĂN THIÊN,PHÓ CHỦ NHIỆM HC - KT QUÂN KHU,J1
ĐẠI TÁ TRẦN ANH TUẤN,PHÓ CHỦ NHIỆM HC - KT QUÂN KHU,J3
ĐẠI TÁ LÊ QUANG TRÌNH,NGUYÊN CHÍNH ỦY CỤC HẬU CẦN QK,J5
ĐẠI TÁ NGUYỄN VĂN KHÁNH,NGUYÊN CHÍNH ỦY CỤC KỸ THUẬT QK,J7
ĐẠI TÁ TRẦN THIỆN PHƯỚC,NGUYÊN PHÓ CN HẬU CẦN QUÂN KHU,J9
CHÍNH ỦY SƯ ĐOÀN BB315,,K20
CHÍNH ỦY SƯ ĐOÀN BB2,,K18
CHÍNH ỦY BCHQS T. K. HÒA,,K16
CHỈ HUY TRƯỞNG BAN CHỈ HUY BĐBP T. ĐĂK LĂK,,K14
CHÍNH ỦY BCHQS T. GIA LAI,,K12
CHÍNH ỦY BCHQS TỈNH Q.NGÃI,,K10
CHỈ HUY TRƯỞNG BAN CHỈ HUY BĐBP TP. ĐÀ NẴNG,,K8
