rank_name,position,seat
THIẾU TƯỚNG TRẦN QUANG TUẤN,TƯ LỆNH CẢNH SÁT BIỂN VÙNG 2,F12
THIẾU TƯỚNG TRƯƠNG HỒNG QUANG,NGUYÊN PHÓ TMT QUÂN KHU,F13
THIẾU TƯỚNG DƯƠNG MINH HẢI,CỤC TRƯỞNG CỤC KHOA HỌC QUÂN SỰ,F14
ĐẠI TÁ KHÚC NGỌC PHƯƠNG,NGUYÊN PHÓ TMT QUÂN KHU,F15
THIẾU TƯỚNG LƯU NAM TIẾN,CHÍNH ỦY BTL THỦ ĐÔ HÀ NỘI,F16
THIẾU TƯỚNG NGUYỄN ĐỨC LIÊN,NGUYÊN PHÓ CHỦ NHIỆM CHÍNH TRỊ QUÂN KHU,F17
THIẾU TƯỚNG BÙI TRỌNG HIẾU,PHÓ CỤC TRƯỞNG CỤC ĐỐI NGOẠI,F18
THIẾU TƯỚNG ĐẶNG LÊ NHỊ,NGUYÊN PHÓ TMT QUÂN KHU,F19
ĐẠI BIỂU BTL TÁC CHIẾN KHÔNG GIAN MẠNG,,F20
ĐẠI TÁ LƯƠNG KẾ ĐIỀM,CHỦ NHIỆM HC - KT QUÂN KHU,G1
THIẾU TƯỚNG NGUYỄN VĂN THANH,PHÓ TƯ LỆNH CẢNH VỆ BỘ CÔNG AN,G2
ĐẠI TÁ ĐỖ THANH XUÂN,PHÓ CN CHÍNH TRỊ QUÂN KHU,G3
ĐỒNG CHÍ NGUYỄN VĂN BÌNH,CHỦ TỊCH TẬP ĐOÀN SUN GROUP,G4
ĐẠI TÁ NGUYỄN THANH XUÂN,PHÓ CN CHÍNH TRỊ QUÂN KHU,G5
ĐỒNG CHÍ TRẦN MINH SƠN,PHÓ CHỦ TỊCH HĐQT TẬP ĐOÀN SUN GROUP,G6
ĐẠI TÁ TẠ KÍNH,NGUYÊN PHÓ CN CHÍNH TRỊ QUÂN KHU,G7
THIẾU TƯỚNG VŨ HẢI ĐĂNG,PHÓ CHÁNH THANH TRA BỘ QUỐC PHÒNG,G8
ĐẠI TÁ DƯƠNG HỮU QUYÊN,NGUYÊN PHÓ CHỦ NHIỆM UBKT ĐẢNG ỦY QUÂN KHU,G9
THIẾU TƯỚNG ĐÀM THUẬN CÔNG,PHÓ VIỆN TRƯỞNG KIỂM SÁT QUÂN SỰ TW,G10
ĐẠI TÁ LÊ XUÂN THỊNH,NGUYÊN PHÓ TMT QUÂN KHU,G11
THIẾU TƯỚNG HOÀNG HỮU QUÝ,PHÓ CHÁNH ÁN TÒA ÁN QUÂN SỰ TRUNG ƯƠNG,G12
ĐẠI TÁ TRƯƠNG QUANG NHẠN,NGUYÊN PHÓ TMT QUÂN KHU,G13
THIẾU TƯỚNG TRẦN TRUNG THIẾT,PHÓ CỤC TRƯỞNG CỤC TỔ CHỨC/TCCT,G14
ĐẠI TÁ TRẦN VĂN LÝ,NGUYÊN PHÓ TMT QUÂN KHU,G15
CHUẨN ĐÔ ĐỐC NGUYỄN ĐĂNG TIẾN,CHÍNH ỦY VÙNG 3 HẢI QUÂN,G16
ĐẠI TÁ ĐOÀN HỒNG CHƯƠNG,NGUYÊN PHÓ CHỦ NHIỆM CHÍNH TRỊ QUÂN KHU,G17
CHUẨN ĐÔ ĐỐC NGUYỄN ANH TUẤN,TƯ LỆNH VÙNG 4 HẢI QUÂN,G18
THIẾU TƯỚNG ĐỖ QUANG DỰ,NGUYÊN CHỦ NHIỆM HẬU CẦN QUÂN KHU,G19
THIẾU TƯỚNG LÊ QUANG TRÍ,PHÓ GIÁM ĐỐC BỆNH VIỆN QUÂN Y 175,G20
ĐẠI TÁ VÕ VĂN BÁ,PHÓ TMT QUÂN KHU,H1
ĐẠI TÁ SÁI MINH HẢI,TRƯỞNG PHÒNG CẢNH VỆ MIỀN TRUNG BTL CẢNH VỆ,H2
ĐẠI TÁ NGUYỄN VĂN HÒA,PHÓ TMT QUÂN KHU,H3
ĐẠI BIỂU CỤC QUÂN HUẤN NHÀ TRƯỜNG,,H4
ĐẠI TÁ CAO VĂN MƯỜI,PHÓ TMT QUÂN KHU,H5
THIẾU TƯỚNG NGUYỄN XUÂN THỦY,PHÓ CỤC TRƯỞNG CỤC TUYÊN HUẤN/TCCT,H6
ĐẠI TÁ DƯƠNG HOÀNG TOÁN,PHÓ CN CHÍNH TRỊ QUÂN KHU,H7
ĐẠI TÁ ĐÀO XUÂN VŨ,PHÓ TỔNG GIÁM ĐỐC TẬP ĐOÀN VIETTEL,H8
ĐẠI TÁ PHẠM ĐỨC DŨNG,NGUYÊN PHÓ CN HẬU CẦN QUÂN KHU,H9
ĐẠI TÁ LÊ MẠNH TRƯỜNG,CỤC ĐT - HS BỘ QUỐC PHÒNG,H10
ĐẠI TÁ TRỊNH VĂN TÂM,NGUYÊN PHÓ CN CHÍNH TRỊ QUÂN KHU,H11
ĐẠI TÁ VŨ VĂN KIỆM,PHÓ CỤC TRƯỞNG CỤC PHÁP CHẾ,H12
ĐẠI TÁ PHAN VĂN HẠNG,NGUYÊN PHÓ CHỦ NHIỆM CHÍNH TRỊ QUÂN KHU,H13
ĐẠI TÁ NGUYỄN KHÁNH LINH,CỤC TRƯỞNG/CỤC 11 TỔNG CỤC II,H14
ĐẠI TÁ LÊ VĂN HẢI,NGUYÊN PHÓ CHỦ NHIỆM UBKT ĐẢNG ỦY QK,H15
ĐẠI TÁ TRẦN ĐÌNH MẠNH,PHÓ TƯ LỆNH-TMT PHÁO BINH TÊN LỬA,H16
ĐẠI TÁ LÊ PHÚC THẮNG,NGUYÊN CHỦ NHIỆM KỸ THUẬT QUÂN KHU,H17
ĐẠI TÁ KHỔNG MẠNH HƯNG,PHÓ CHÍNH ỦY BINH CHỦNG CÔNG BINH,H18
ĐẠI TÁ NGUYỄN HỮU CHỈNH,NGUYÊN PHÓ CHỦ NHIỆM CHÍNH TRỊ QUÂN KHU,H19
ĐẠI TÁ NGUYỄN THIỆN THANH,PHÓ CHÍNH ỦY BINH CHỦNG TĂNG-THIẾT GIÁP,H20
ĐẠI TÁ LÊ KIM GIÀU,PHÓ TMT QUÂN KHU,I1
ĐẠI TÁ HOÀNG TRUNG KIÊN,CHÍNH ỦY SƯ ĐOÀN KQ372 QC PK-KQ,I2
ĐẠI TÁ NGUYỄN TẤN Ý,PHÓ TMT QUÂN KHU,I3
ĐẠI BIỂU SƯ ĐOÀN PK375 QC PK-KQ,,I4
ĐẠI TÁ TRẦN KIM QUYỀN,CHÍNH ỦY CỤC HC-KT,I5
THƯỢNG TÁ PHẠM NHƯ ÁNH,PHÓ TỔNG GIÁM ĐỐC NGÂN HÀNG MB,I6
ĐẠI TÁ HỒ ANH TUẤN,PHÓ CN CHÍNH TRỊ QUÂN KHU,I7
ĐẠI BIỂU CÔNG TY THÀNH AN 96,,I8
ĐẠI TÁ NGUYỄN VĂN KHÁNH,NGUYÊN CHÍNH ỦY CỤC KỸ THUẬT QK,I9
ĐẠI BIỂU LÃNH ĐẠO THÔNG TẤN XÃ VIỆT NAM,,I10
ĐẠI TÁ NGUYỄN NGỌC BÂNG,NGUYÊN CHỦ NHIỆM KỸ THUẬT QUÂN KHU,I11
ĐẠI BIỂU LÃNH ĐẠO ĐÀI TIẾNG NÓI VIỆT NAM VOV KHU VỰC MIỀN TRUNG,,I12
ĐẠI TÁ TRẦN XUÂN SƠN,NGUYÊN CHÍNH ỦY CỤC KỸ THUẬT QK,I13
ĐẠI BIỂU LÃNH ĐẠO ĐÀI TRUYỀN HÌNH VIỆT NAM VTV8,,I14
ĐẠI TÁ DƯƠNG CÔNG TRI,NGUYÊN PHÓ CN HẬU CẦN QUÂN KHU,I15
ĐẠI BIỂU LÃNH ĐẠO CỔNG THÔNG TIN ĐIỆN TỬ ĐCS VIỆT NAM,,I16
ĐẠI TÁ VÕ HOÀI NAM,NGUYÊN CHỦ NHIỆM HẬU CẦN QUÂN KHU,I17
ĐẠI TÁ PHẠM CÔNG HỮU,PHÓ CHÍNH ỦY BINH CHỦNG HÓA HỌC,I18
ĐẠI TÁ NGÔ TẤN NHẤT,NGUYÊN CHÍNH ỦY CỤC HẬU CẦN QK,I19
ĐẠI TÁ BÙI NGỌC HUYÊN,PHÓ CỤC TRƯỞNG CỤC THI HÀNH ÁN BỘ QUỐC PHÒNG,I20
ĐẠI TÁ ĐỖ XUÂN HÙNG,PHÓ TMT QUÂN KHU,K1
ĐẠI BIỂU LÃNH ĐẠO TRUNG TÂM PT - TH QUÂN ĐỘI,,K2
ĐẠI TÁ TRẦN ANH TUẤN,PHÓ CHỦ NHIỆM HC - KT QUÂN KHU,K3
ĐẠI BIỂU LÃNH ĐẠO BÁO QUÂN ĐỘI NHÂN DÂN,,K4
ĐẠI TÁ VÕ TẤN KHANH,PHÓ CHỦ NHIỆM HC - KT QUÂN KHU,K5
ĐẠI TÁ LÊ THÀNH TÔN,PHÓ CHỦ NHIỆM HC - KT QUÂN KHU,K7
ĐẠI TÁ NGUYỄN LÊN,NGUYÊN CHỦ NHIỆM HẬU CẦN QUÂN KHU,K9
ĐẠI TÁ NGÔ TIẾN SỸ,NGUYÊN CHỦ NHIỆM HẬU CẦN QUÂN KHU,K11
ĐẠI TÁ ĐẶNG VĂN MAU,NGUYÊN PHÓ CN KỸ THUẬT QUÂN KHU,K13
ĐẠI TÁ LÊ QUANG TRÌNH,NGUYÊN CHÍNH ỦY CỤC HẬU CẦN QK,K15
ĐẠI TÁ BÙI TÁ TUÂN,NGUYÊN CHÍNH ỦY CỤC HẬU CẦN QK,K17
ĐẠI TÁ TRẦN ĐÌNH ĐANG,NGUYÊN CHÍNH ỦY CỤC KỸ THUẬT QK,K19
ĐẠI TÁ TRẦN VĂN THIÊN,PHÓ CHỦ NHIỆM HC - KT QUÂN KHU,L1
ĐẠI TÁ TRẦN THIỆN PHƯỚC,NGUYÊN PHÓ CN HẬU CẦN QUÂN KHU,L3
